review_rank,overlap_key,title,start_date_time,address,boroughs,categories,parks_title_date_match,proposed_lat,proposed_lng,coord_proposal_source,coord_proposal_confidence,coord_proposal_reason,google_maps_search_url,google_maps_pin_url,manual_review_status,promotion_allowed,manual_review_notes,approval_decision_reason,source_event_id,permalink
143,dance fitness fiesta|2026-07-22,Dance Fitness Fiesta,2026-07-22T18:00:00.000-04:00,Multi-Use Room A in Rochdale Park,['Qn'],['Parks & Recreation'],True,40.67413632713,-73.775010301575,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Multi-Use+Room+A+in+Rochdale+Park%2C+Qn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.67413632713%2C-73.775010301575,pending,False,,,1059736,https://www1.nyc.gov/events/dance-fitness-fiesta/1059736/1
144,dance fitness upbeat pop|2026-07-18,Dance Fitness- Upbeat Pop!,2026-07-18T10:00:00.000-04:00,Audubon Center at the Boathouse in Prospect Park,['Bk'],['Parks & Recreation'],True,40.660701751709,-73.965400695801,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Audubon+Center+at+the+Boathouse+in+Prospect+Park%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.660701751709%2C-73.965400695801,pending,False,,,1059796,https://www1.nyc.gov/events/dance-fitness-upbeat-pop/1059796/1
145,dance fitness upbeat pop|2026-07-25,Dance Fitness- Upbeat Pop!,2026-07-25T10:00:00.000-04:00,Audubon Center at the Boathouse in Prospect Park,['Bk'],['Parks & Recreation'],True,40.660701751709,-73.965400695801,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Audubon+Center+at+the+Boathouse+in+Prospect+Park%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.660701751709%2C-73.965400695801,pending,False,,,1059816,https://www1.nyc.gov/events/dance-fitness-upbeat-pop/1059816/1
146,dance fitness world wide beats|2026-07-22,Dance Fitness World-Wide Beats,2026-07-22T18:00:00.000-04:00,Astoria Love Family Enrichment Center,['Other'],['Parks & Recreation'],True,40.764049476746,-73.924003243447,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Astoria+Love+Family+Enrichment+Center%2C+Other%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.764049476746%2C-73.924003243447,pending,False,,,1059896,https://www1.nyc.gov/events/dance-fitness-world-wide-beats/1059896/1
147,dance fitness|2026-07-16,Dance Fitness,2026-07-16T19:00:00.000-04:00,Dance Room in Shirley Chisholm Recreation Center,['Bk'],['Parks & Recreation'],True,40.637883828414,-73.946818290168,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637883828414%2C-73.946818290168,pending,False,,,1059356,https://www1.nyc.gov/events/dance-fitness/1059356/1
148,dance fitness|2026-07-18,Dance Fitness,2026-07-18T11:00:00.000-04:00,125th Street and Marginal Street in West Harlem Piers,['Mn'],['Parks & Recreation'],True,40.8188362121582,-73.9609146118164,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=125th+Street+and+Marginal+Street+in+West+Harlem+Piers%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.8188362121582%2C-73.9609146118164,pending,False,,,1059376,https://www1.nyc.gov/events/dance-fitness/1059376/1
149,dance fitness|2026-07-23,Dance Fitness,2026-07-23T19:00:00.000-04:00,Dance Room in Shirley Chisholm Recreation Center,['Bk'],['Parks & Recreation'],True,40.637883828414,-73.946818290168,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Dance+Room+in+Shirley+Chisholm+Recreation+Center%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.637883828414%2C-73.946818290168,pending,False,,,1059396,https://www1.nyc.gov/events/dance-fitness/1059396/1
150,dance fitness|2026-07-25,Dance Fitness,2026-07-25T11:00:00.000-04:00,125th Street and Marginal Street in West Harlem Piers,['Mn'],['Parks & Recreation'],True,40.8188362121582,-73.9609146118164,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=125th+Street+and+Marginal+Street+in+West+Harlem+Piers%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.8188362121582%2C-73.9609146118164,pending,False,,,1059416,https://www1.nyc.gov/events/dance-fitness/1059416/1
151,dance in the park merengue|2026-07-25,Dance in the Park: Merengue,2026-07-25T11:00:00.000-04:00,East River Picnic Area in Randall's Island Park,['Mn'],['Parks & Recreation'],True,40.783056947393,-73.933829307556,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=East+River+Picnic+Area+in+Randall%27s+Island+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.783056947393%2C-73.933829307556,pending,False,,,1059976,https://www1.nyc.gov/events/dance-in-the-park-merengue/1059976/1
152,disability pride month accessible art tour|2026-07-18,Disability Pride Month: Accessible Art Tour,2026-07-18T12:00:00.000-04:00,The Carousel in Prospect Park,['Bk'],['Parks & Recreation'],True,40.663700103759766,-73.96419525146484,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=The+Carousel+in+Prospect+Park%2C+Bk%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.663700103759766%2C-73.96419525146484,pending,False,,,1060116,https://www1.nyc.gov/events/disability-pride-month-accessible-art-tour/1060116/1
153,discovery hike staten island s shoreline|2026-07-26,Discovery Hike: Staten Island's Shoreline,2026-07-26T11:00:00.000-04:00,Chester Avenue and Huguenot Avenue in Wolfe's Pond Park,['SI'],['Parks & Recreation'],True,40.520599365234,-74.18399810791,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Chester+Avenue+and+Huguenot+Avenue+in+Wolfe%27s+Pond+Park%2C+SI%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.520599365234%2C-74.18399810791,pending,False,,,1060136,https://www1.nyc.gov/events/discovery-hike-staten-islands-shoreline/1060136/1
154,double dutch|2026-07-16,Double Dutch,2026-07-16T17:30:00.000-04:00,Garibaldi Plaza in Washington Square Park,['Mn'],['Parks & Recreation'],True,40.730499267578125,-73.99700164794922,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Garibaldi+Plaza+in+Washington+Square+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.730499267578125%2C-73.99700164794922,pending,False,,,1060176,https://www1.nyc.gov/events/double-dutch/1060176/1
155,double dutch|2026-07-23,Double Dutch,2026-07-23T17:30:00.000-04:00,Garibaldi Plaza in Washington Square Park,['Mn'],['Parks & Recreation'],True,40.730499267578125,-73.99700164794922,nyc_parks_bigapps_events_snapshot,high,Matched calendar row to Parks BigApps event by title+date; coordinates copied for manual review only.,https://www.google.com/maps/search/?api=1&query=Garibaldi+Plaza+in+Washington+Square+Park%2C+Mn%2C+New+York%2C+NY,https://www.google.com/maps/search/?api=1&query=40.730499267578125%2C-73.99700164794922,pending,False,,,1060196,https://www1.nyc.gov/events/double-dutch/1060196/1
