overlap_key,title,date,distance_miles,recommendation,action,reason,preferred_row_if_forced_to_pick_one,alternate_row,row_a_lat,row_a_lng,row_a_display_location,row_a_borough,row_a_geocoder_source,row_a_geocoder_confidence,row_a_source_event_id,row_b_lat,row_b_lng,row_b_display_location,row_b_borough,row_b_geocoder_source,row_b_geocoder_confidence,row_b_source_event_id
summer sports experience basketball|2026-07-26,Summer Sports Experience: Basketball,2026-07-26,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108456,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181212
summer sports experience pickleball|2026-07-16,Summer Sports Experience: Pickleball,2026-07-16,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1109296,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181579
summer sports experience pickleball|2026-07-17,Summer Sports Experience: Pickleball,2026-07-17,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1109316,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181469
summer sports experience pickleball|2026-07-20,Summer Sports Experience: Pickleball,2026-07-20,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1109336,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181589
summer sports experience pickleball|2026-07-21,Summer Sports Experience: Pickleball,2026-07-21,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108956,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181668
summer sports experience pickleball|2026-07-22,Summer Sports Experience: Pickleball,2026-07-22,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108976,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181433
summer sports experience pickleball|2026-07-23,Summer Sports Experience: Pickleball,2026-07-23,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1108996,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181610
summer sports experience pickleball|2026-07-24,Summer Sports Experience: Pickleball,2026-07-24,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1109016,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181552
summer sports experience pickleball|2026-07-27,Summer Sports Experience: Pickleball,2026-07-27,2.226,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.591982601343,-74.139472484589","40.5960754,-74.1815538",40.5960754,-74.1815538,Greenbelt Recreation Center in Greenbelt Recreation Center,SI,nyc_parks_bigapps_events_snapshot,medium,1109036,40.591982601343,-74.139472484589,Greenbelt Recreation Center (in Blood Root Valley),SI,nyc_parks_bigapps_events_snapshot,high,2181778
summer sports experience st mary s park game of zones girls basketball clinic|2026-07-18,"Summer Sports Experience: St. Mary's Park ""Game of Zones Girls Basketball Clinic""",2026-07-18,10.385,dedupe_drop_bad_geocode,drop_one_row,Same venue text but far-apart coordinates; keep the better geocode and drop the outlier row.,"40.6757851,-73.9975397","40.8114701,-73.9122192",40.6757851,-73.9975397,Basketball Courts (in St. Mary's Park),Bk,nyc_parks_bigapps_events_snapshot,medium,2182812,40.8114701,-73.9122192,Basketball Courts in St. Mary's Park,Bx,nyc_parks_bigapps_events_snapshot,medium,1109516
